北京联通,#genre#
BRTV新闻,http://114.251.185.6:8012/udp/239.3.1.159:8000
BRTV文艺,http://114.251.185.6:8012/udp/239.3.1.242:8000
BRTV影视,http://114.251.185.6:8012/udp/239.3.1.158:8000
BRTV体育休闲,http://114.251.185.6:8012/udp/239.3.1.243:8000
BRTV纪实科教,http://114.251.185.6:8012/udp/239.3.1.115:8000
BRTV财经,http://114.251.185.6:8012/udp/239.3.1.116:8000
BRTV生活,http://114.251.185.6:8012/udp/239.3.1.117:8000
BRTV卡酷少儿,http://114.251.185.6:8012/udp/239.3.1.189:8000
北京IPTV4K超清[4K],http://114.251.185.6:8012/udp/239.3.1.249:8001
北京IPTV淘精彩,http://114.251.185.6:8012/udp/239.3.1.178:8001
北京IPTV淘娱乐,http://114.251.185.6:8012/udp/239.3.1.100:8001
北京IPTV淘剧场,http://114.251.185.6:8012/udp/239.3.1.95:8001
北京IPTV淘电影,http://114.251.185.6:8012/udp/239.3.1.250:8001
北京IPTV淘Baby,http://114.251.185.6:8012/udp/239.3.1.238:8001
北京IPTV 萌宠TV,http://114.251.185.6:8012/udp/239.3.1.102:8001
睛彩竞技,http://114.251.185.6:8012/udp/239.3.1.125:8001
睛彩篮球,http://114.251.185.6:8012/udp/239.3.1.126:8001
睛彩青少,http://114.251.185.6:8012/udp/239.3.1.127:8001
睛彩广场舞,http://114.251.185.6:8012/udp/239.3.1.128:8001

CCTV-1,http://114.251.185.6:8012/udp/239.3.1.129:8008
CCTV-2,http://114.251.185.6:8012/udp/239.3.1.60:8084
CCTV-3,http://114.251.185.6:8012/udp/239.3.1.172:8001
CCTV-4,http://114.251.185.6:8012/udp/239.3.1.105:8092
CCTV-5,http://114.251.185.6:8012/udp/239.3.1.173:8001
CCTV5+,http://114.251.185.6:8012/udp/239.3.1.130:8004
CCTV-6,http://114.251.185.6:8012/udp/239.3.1.174:8001
CCTV-7,http://114.251.185.6:8012/udp/239.3.1.61:8104
CCTV-8,http://114.251.185.6:8012/udp/239.3.1.175:8001
CCTV-9,http://114.251.185.6:8012/udp/239.3.1.62:8112
CCTV-10,http://114.251.185.6:8012/udp/239.3.1.63:8116
CCTV-11,http://114.251.185.6:8012/udp/239.3.1.152:8120
CCTV-12,http://114.251.185.6:8012/udp/239.3.1.64:8124
CCTV-13,http://114.251.185.6:8012/udp/239.3.1.124:8128
CCTV-14,http://114.251.185.6:8012/udp/239.3.1.65:8132
CCTV-15,http://114.251.185.6:8012/udp/239.3.1.153:8136
CCTV-16,http://114.251.185.6:8012/udp/239.3.1.184:8001
CCTV-17,http://114.251.185.6:8012/udp/239.3.1.151:8144
CCTV 4K[4K],http://114.251.185.6:8012/udp/239.3.1.245:2000
中国教育1台,http://114.251.185.6:8012/udp/239.3.1.57:8152
CGTN 新闻,http://114.251.185.6:8012/udp/239.3.1.215:4220
CGTN 记录,http://114.251.185.6:8012/udp/239.3.1.216:4220

北京卫视,http://114.251.185.6:8012/udp/239.3.1.241:8000
湖南卫视,http://114.251.185.6:8012/udp/239.3.1.132:8012
浙江卫视,http://114.251.185.6:8012/udp/239.3.1.137:8036
江苏卫视,http://114.251.185.6:8012/udp/239.3.1.135:8028
东方卫视,http://114.251.185.6:8012/udp/239.3.1.136:8032
山东卫视,http://114.251.185.6:8012/udp/239.3.1.209:8052
安徽卫视,http://114.251.185.6:8012/udp/239.3.1.211:8064
湖北卫视,http://114.251.185.6:8012/udp/239.3.1.138:8044
东南卫视,http://114.251.185.6:8012/udp/239.3.1.156:8148
广东卫视,http://114.251.185.6:8012/udp/239.3.1.142:8048
辽宁卫视,http://114.251.185.6:8012/udp/239.3.1.210:8056
黑龙江卫视,http://114.251.185.6:8012/udp/239.3.1.133:8016
深圳卫视,http://114.251.185.6:8012/udp/239.3.1.134:8020
贵州卫视,http://114.251.185.6:8012/udp/239.3.1.149:8076
天津卫视,http://114.251.185.6:8012/udp/239.3.1.141:1234
河北卫视,http://114.251.185.6:8012/udp/239.3.1.148:8072
重庆卫视,http://114.251.185.6:8012/udp/239.3.1.122:8160
江西卫视,http://114.251.185.6:8012/udp/239.3.1.123:8164
吉林卫视,http://114.251.185.6:8012/udp/239.3.1.240:8172

爱上4K[4K],http://114.251.185.6:8012/udp/239.3.1.236:2000
金鹰纪实,http://114.251.185.6:8012/udp/239.3.1.58:8156
纪实人文,http://114.251.185.6:8012/udp/239.3.1.212:8060



BRTV新闻,http://221.221.165.200:8182/udp/239.3.1.159:8000
BRTV文艺,http://221.221.165.200:8182/udp/239.3.1.242:8000
BRTV影视,http://221.221.165.200:8182/udp/239.3.1.158:8000
BRTV体育休闲,http://221.221.165.200:8182/udp/239.3.1.243:8000
BRTV纪实科教,http://221.221.165.200:8182/udp/239.3.1.115:8000
BRTV财经,http://221.221.165.200:8182/udp/239.3.1.116:8000
BRTV生活,http://221.221.165.200:8182/udp/239.3.1.117:8000
BRTV卡酷少儿,http://221.221.165.200:8182/udp/239.3.1.189:8000
北京IPTV4K超清[4K],http://221.221.165.200:8182/udp/239.3.1.249:8001
北京IPTV淘精彩,http://221.221.165.200:8182/udp/239.3.1.178:8001
北京IPTV淘娱乐,http://221.221.165.200:8182/udp/239.3.1.100:8001
北京IPTV淘剧场,http://221.221.165.200:8182/udp/239.3.1.95:8001
北京IPTV淘电影,http://221.221.165.200:8182/udp/239.3.1.250:8001
北京IPTV淘Baby,http://221.221.165.200:8182/udp/239.3.1.238:8001
北京IPTV 萌宠TV,http://221.221.165.200:8182/udp/239.3.1.102:8001
睛彩竞技,http://221.221.165.200:8182/udp/239.3.1.125:8001
睛彩篮球,http://221.221.165.200:8182/udp/239.3.1.126:8001
睛彩青少,http://221.221.165.200:8182/udp/239.3.1.127:8001
睛彩广场舞,http://221.221.165.200:8182/udp/239.3.1.128:8001

CCTV-1,http://221.221.165.200:8182/udp/239.3.1.129:8008
CCTV-2,http://221.221.165.200:8182/udp/239.3.1.60:8084
