河南电信,#genre#
河南都市,http://123.55.107.174:8888/udp/239.16.10.120:2000
河南都市,http://123.55.107.174:8888/udp/239.16.20.164:11640
河南民生,http://123.55.107.174:8888/udp/239.16.10.121:2000
河南民生,http://123.55.107.174:8888/udp/239.16.20.165:11650
河南法治,http://123.55.107.174:8888/udp/239.16.10.122:2000
河南法治,http://123.55.107.174:8888/udp/239.16.20.166:11660
河南新闻,http://123.55.107.174:8888/udp/239.16.10.124:2000
河南新闻,http://123.55.107.174:8888/udp/239.16.20.168:11680
河南公共,http://123.55.107.174:8888/udp/239.16.10.126:2000
河南公共,http://123.55.107.174:8888/udp/239.16.20.170:11700
河南乡村,http://123.55.107.174:8888/udp/239.16.10.181:2000
河南乡村,http://123.55.107.174:8888/udp/239.16.20.195:11950
河南戏曲,http://123.55.107.174:8888/udp/239.16.10.148:2000
河南戏曲,http://123.55.107.174:8888/udp/239.16.20.171:11710
河南收藏天下,http://123.55.107.174:8888/udp/239.16.10.149:2000
河南收藏天下,http://123.55.107.174:8888/udp/239.16.20.172:11720
河南中华功夫,http://123.55.107.174:8888/udp/239.16.10.150:2000
河南中华功夫,http://123.55.107.174:8888/udp/239.16.20.173:11730
河南睛彩中原,http://123.55.107.174:8888/udp/239.16.10.78:2000
河南睛彩中原,http://123.55.107.174:8888/udp/239.16.20.122:11220
河南移动戏曲,http://123.55.107.174:8888/udp/239.16.10.76:2000
河南移动戏曲,http://123.55.107.174:8888/udp/239.16.20.120:11200
河南移动电视,http://123.55.107.174:8888/udp/239.16.10.79:2000
河南移动电视,http://123.55.107.174:8888/udp/239.16.20.204:12040
河南电视剧,http://123.55.107.174:8888/udp/239.16.10.123:2000
河南电视剧,http://123.55.107.174:8888/udp/239.16.20.167:11670
河南调解剧场,http://123.55.107.174:8888/udp/239.16.20.197:11970
郑州影视戏曲,http://123.55.107.174:8888/udp/239.16.10.157:2000
郑州新闻综合,http://123.55.107.174:8888/udp/239.16.10.154:2000
郑州商都,http://123.55.107.174:8888/udp/239.16.10.155:2000
郑州文体,http://123.55.107.174:8888/udp/239.16.10.156:2000
郑州妇女儿童,http://123.55.107.174:8888/udp/239.16.10.158:2000
郑州都市生活,http://123.55.107.174:8888/udp/239.16.10.159:2000

CCTV1,http://123.55.107.174:8888/udp/239.16.10.1:2000
CCTV1,http://123.55.107.174:8888/udp/239.16.20.1:10010
CCTV2,http://123.55.107.174:8888/udp/239.16.10.127:2000
CCTV2,http://123.55.107.174:8888/udp/239.16.20.2:10020
CCTV3,http://123.55.107.174:8888/udp/239.16.10.2:2000
CCTV3,http://123.55.107.174:8888/udp/239.16.20.3:10030
CCTV4,http://123.55.107.174:8888/udp/239.16.10.128:2000
CCTV4,http://123.55.107.174:8888/udp/239.16.20.4:10040
CCTV5+,http://123.55.107.174:8888/udp/239.16.10.3:2000
CCTV5+,http://123.55.107.174:8888/udp/239.16.20.5:10050
CCTV5,http://123.55.107.174:8888/udp/239.16.10.132:2000
CCTV5,http://123.55.107.174:8888/udp/239.16.20.53:10530
CCTV6,http://123.55.107.174:8888/udp/239.16.10.101:2000
CCTV6,http://123.55.107.174:8888/udp/239.16.20.6:10060
CCTV7,http://123.55.107.174:8888/udp/239.16.10.130:2000
CCTV7,http://123.55.107.174:8888/udp/239.16.20.51:10510
CCTV8,http://123.55.107.174:8888/udp/239.16.10.102:2000
CCTV8,http://123.55.107.174:8888/udp/239.16.20.8:10080
CCTV9,http://123.55.107.174:8888/udp/239.16.10.103:2000
CCTV9,http://123.55.107.174:8888/udp/239.16.20.9:10090
CCTV10,http://123.55.107.174:8888/udp/239.16.10.108:2000
CCTV10,http://123.55.107.174:8888/udp/239.16.20.10:10100
CCTV11,http://123.55.107.174:8888/udp/239.16.10.109:2000
CCTV11,http://123.55.107.174:8888/udp/239.16.20.11:10110
CCTV12,http://123.55.107.174:8888/udp/239.16.10.110:2000
CCTV12,http://123.55.107.174:8888/udp/239.16.20.12:10120
CCTV13,http://123.55.107.174:8888/udp/239.16.10.111:2000
CCTV13,http://123.55.107.174:8888/udp/239.16.20.13:10130
